trial_n,trial_type,response,reference_freq,test_freq
1,Same,Same,750,750
2,Different,Different,750,562.5
3,Different,Different,750,891
4,Same,Same,750,750
5,Different,Different,750,856
6,Different,Different,750,830
7,Different,Different,750,810
8,Same,Same,750,750
9,Same,Same,750,750
10,Different,Different,750,705
11,Different,Different,750,784
12,Different,Different,750,724
13,Different,Different,750,730
14,Different,Different,750,735
15,Same,Same,750,750
16,Different,Different,750,739
17,Different,Different,750,758
18,Different,Different,750,744
19,Different,Same,750,745
20,Different,Same,750,744
21,Different,Different,750,742
